,Type,N_peaks,Media_proem,Area,Width_peaks,Width_peaks_max,Width_peaks_min,Median,Mode,Mean,Sd
120,1,3,7.89198,956.66898,14.20851,45.39583,0.54595,38.70833,19.44444,73.42974,85.89944
121,1,2,25.70486,5844.76852,32.78346,120.67014,0.78864,102.78472,7.45139,420.86479,865.23789
122,1,2,316.76852,10347.64815,184.90301,1430.17014,0.84173,175.53472,19.85417,667.49592,769.05622
123,1,1,89.22917,4304.74074,41.92375,147.14931,3.52210,179.14583,19.79167,305.79698,312.32658
124,1,2,11.68403,1216.02315,32.47786,193.79514,0.93976,24.04861,6.67361,84.75327,91.82726
125,1,4,11.20949,1756.67593,47.35884,586.68056,0.57829,37.11111,16.08333,120.93546,188.15368
126,1,1,36.22685,2469.28241,27.37262,94.13194,2.83293,77.97917,31.84028,177.65564,218.12335
127,1,2,42.19444,2392.52083,31.61113,149.56597,0.67205,97.90278,40.17361,166.07149,166.85810
128,1,3,70.36960,2637.84491,44.39737,285.61806,0.52565,87.54861,9.03472,150.57802,166.07064
129,1,2,34.85417,963.28935,26.38949,152.31597,2.10190,19.87500,6.08333,58.29453,73.47346
150,1,2,6.88773,4990.66898,10.95304,26.33681,0.63674,19.36806,6.31944,456.17279,1186.13872
151,1,3,105.74769,8070.77546,124.23628,538.47917,0.70269,505.27083,137.51389,480.24877,146.38321
152,1,3,90.33333,3777.45833,80.07286,483.94097,0.50000,108.54167,14.61111,233.55270,265.27421
153,1,2,12.94792,1775.29398,11.86553,44.35417,0.60417,38.87500,4.89583,123.86765,236.48555
154,1,1,6.99537,3631.61574,51.22743,179.90972,0.51533,148.24306,10.13194,336.73734,636.08798
155,1,2,29.82407,3406.59259,28.27980,100.93403,0.67611,77.43056,28.36806,233.03758,370.38084
156,1,2,112.19676,7345.70833,124.18285,496.21875,2.70412,539.11111,26.97917,450.91381,208.84934
157,1,1,96.99537,3263.74537,152.31294,580.84722,1.95115,90.75000,5.61111,208.97386,244.12402
158,1,2,166.28356,8331.27778,189.59542,913.68403,0.74535,393.17361,50.35417,505.22590,377.09280
159,1,2,165.91319,4694.55093,87.58461,510.47222,1.39308,157.95833,8.41667,279.43301,288.77005
180,1,1,20.33565,2766.21759,38.72830,127.91319,1.73423,103.72222,36.54167,198.40809,229.78909
181,1,2,46.35069,4867.46528,73.62971,519.70139,0.55234,225.55556,20.99306,399.29248,660.41420
