,Type,ASM,constrast,correl,variance,inv diff mom,sum aveg,sum var,sum entropy,entropy,dif var,dif entropy,IMC1,IMC2,colors
49,3,0.05211,543.62173,0.33025,508.67460,0.09675,284.70016,1491.07668,3.27919,4.30228,0.00075,3.03227,-0.77855,0.99742,0.45750
50,3,0.05049,318.47508,0.38865,300.59378,0.12328,395.18587,883.90004,3.29493,4.33496,0.00071,2.81156,-0.77568,0.99756,0.59250
51,3,0.04989,236.74510,0.44427,212.51888,0.07936,287.19281,613.33043,3.26552,4.35171,0.00078,2.98969,-0.80669,0.99831,0.45250
52,3,0.05417,256.90727,0.33917,223.53670,0.13933,253.95629,637.23953,3.21492,4.26347,0.00101,2.84203,-0.72521,0.99500,0.51750
53,3,0.05359,197.67729,0.38120,173.83332,0.12023,367.63317,497.65598,3.19177,4.27859,0.00074,2.85868,-0.75139,0.99595,0.45250
54,3,0.05228,304.88848,0.35923,224.67411,0.11795,271.58211,593.80797,3.20575,4.29983,0.00093,2.94129,-0.75216,0.99658,0.52000
55,3,0.07441,46.62827,0.27798,43.61386,0.26592,236.60784,127.82718,2.87872,3.94685,0.00202,2.31685,-0.58398,0.95664,0.51500
56,3,0.06068,435.82108,0.29123,401.52669,0.18242,361.36111,1170.28570,3.09684,4.15456,0.00092,2.71419,-0.69272,0.99071,0.36000
57,3,0.05115,373.58987,0.38143,323.02251,0.09132,233.54085,918.50018,3.29369,4.32475,0.00083,3.03124,-0.78818,0.99756,0.45250
58,3,0.05467,274.86601,0.29888,205.30341,0.16251,253.68219,546.34763,3.17598,4.26100,0.00118,2.69767,-0.73470,0.99451,0.54750
59,3,0.05145,286.12827,0.27757,235.08269,0.09205,324.87663,654.20248,3.26826,4.32679,0.00068,3.02606,-0.77386,0.99700,0.48250
60,3,0.05187,336.18832,0.24499,199.18477,0.09481,293.89175,460.55078,3.20606,4.30677,0.00081,2.98158,-0.74243,0.99586,0.48000
61,3,0.07018,38.43423,0.35287,34.20476,0.23690,309.33946,98.38482,3.03577,4.04641,0.00112,2.56044,-0.59889,0.97384,0.44750
62,3,0.05049,462.77819,0.39874,407.49582,0.08545,257.68505,1167.20508,3.27204,4.33496,0.00091,2.97093,-0.79244,0.99814,0.54500
63,3,0.05496,493.52900,0.35076,306.81732,0.14370,321.76348,733.74028,3.22955,4.25367,0.00096,2.69341,-0.74911,0.99607,0.52500
64,3,0.05076,434.47018,0.38368,374.72445,0.08053,354.60743,1064.42764,3.24507,4.33088,0.00061,3.00992,-0.79202,0.99808,0.45750
